Nom du lieu;Type de lieu;Ville;D�partement;R�gion;Capacité (personnes);Prix (€);Description;URL Heavento;URL ABC Salles;URL Kactus;URL Carmin.io;Contact/Téléphone;Email;Statut;Dernière mise à jour
Abbaye de Bonport;Salle de r�ception;Eure;;Haute-Normandie;10-250 personnes;Dès 240€ - 1440€;Joyau du patrimoine religieux situé à Eure, cette abbaye historique propose des espaces uniques pour vos événements. Les voûtes millénaires et l'architecture sacrée créent une ambiance incomparable. Avec 10-250 personnes, elle accueille cérémonies, concerts et réceptions dans un cadre spirituel apaisant. Un voyage dans le temps où la beauté architecturale sublime vos moments d'exception.;https://heavento.fr/location-de-salles/abbaye-de-bonport/location-d-abbaye/pont-de-larche/haute-normandie/france/;https://www.abcsalles.com/lieu/abbaye-de-bonport;https://www.kactus.com/fr/lieux/abbaye-de-bonport;https://carmin.io/location/eure/abbaye-de-bonport;;;Actif;27/08/2025
Abbaye de Cercanceaux;Salle de r�ception;Seine-et-Marne;;�le-de-France;10-250 personnes;Dès 640€ - 4000€;Joyau du patrimoine religieux situé à Seine-et-Marne, cette abbaye historique propose des espaces uniques pour vos événements. Les voûtes millénaires et l'architecture sacrée créent une ambiance incomparable. Avec 10-250 personnes, elle accueille cérémonies, concerts et réceptions dans un cadre spirituel apaisant. Un voyage dans le temps où la beauté architecturale sublime vos moments d'exception.;https://heavento.fr/location-de-salles/abbaye-de-cercanceaux/location-d-abbaye/cercanceaux-souppes-s-loing/ile-de-france/france/;https://www.abcsalles.com/lieu/abbaye-de-cercanceaux;https://www.kactus.com/fr/lieux/abbaye-de-cercanceaux;https://carmin.io/location/seineetmarne/abbaye-de-cercanceaux;;;Actif;27/08/2025
Abbaye de Chaalis;Salle de r�ception;Oise;;Picardie;10-250 personnes;Dès 240€ - 1440€;Ancienne abbaye transformée en lieu culturel et événementiel à Oise. Ce monument historique classé offre une atmosphère spirituelle unique avec son architecture monastique préservée. Capacité d'accueil de 10-250 personnes dans des espaces authentiques : cloître, salle capitulaire, jardins. Idéal pour séminaires, concerts, mariages dans un cadre patrimonial exceptionnel. Un lieu de sérénité où l'histoire millénaire rencontre l'événementiel contemporain.;https://heavento.fr/location-de-salles/abbaye-de-chaalis/location-d-abbaye/fontaine-chaalis/picardie/france/;https://www.abcsalles.com/lieu/abbaye-de-chaalis;https://www.kactus.com/fr/lieux/abbaye-de-chaalis;https://carmin.io/location/oise/abbaye-de-chaalis;;;Actif;27/08/2025
Abbaye de Longpont;Salle de r�ception;Aisne;;Picardie;10-250 personnes;Dès 240€ - 1440€;Joyau du patrimoine religieux situé à Aisne, cette abbaye historique propose des espaces uniques pour vos événements. Les voûtes millénaires et l'architecture sacrée créent une ambiance incomparable. Avec 10-250 personnes, elle accueille cérémonies, concerts et réceptions dans un cadre spirituel apaisant. Un voyage dans le temps où la beauté architecturale sublime vos moments d'exception.;https://heavento.fr/location-de-salles/abbaye-de-longpont/location-d-abbaye/longpont/picardie/france/;https://www.abcsalles.com/lieu/abbaye-de-longpont;https://www.kactus.com/fr/lieux/abbaye-de-longpont;https://carmin.io/location/aisne/abbaye-de-longpont;;;Actif;27/08/2025
Abbaye de Reigny;Salle de r�ception;Yonne;;Bourgogne;10-250 personnes;Dès 240€ - 1440€;Ancienne abbaye transformée en lieu culturel et événementiel à Yonne. Ce monument historique classé offre une atmosphère spirituelle unique avec son architecture monastique préservée. Capacité d'accueil de 10-250 personnes dans des espaces authentiques : cloître, salle capitulaire, jardins. Idéal pour séminaires, concerts, mariages dans un cadre patrimonial exceptionnel. Un lieu de sérénité où l'histoire millénaire rencontre l'événementiel contemporain.;https://heavento.fr/location-de-salles/abbaye-de-reigny/location-d-abbaye/vermenton/bourgogne/france/;https://www.abcsalles.com/lieu/abbaye-de-reigny;https://www.kactus.com/fr/lieux/abbaye-de-reigny;https://carmin.io/location/yonne/abbaye-de-reigny;;;Actif;27/08/2025
Abbaye de Saint Gilbert;Salle de r�ception;Allier;;Auvergne;10-250 personnes;Dès 240€ - 1440€;Ancienne abbaye transformée en lieu culturel et événementiel à Allier. Ce monument historique classé offre une atmosphère spirituelle unique avec son architecture monastique préservée. Capacité d'accueil de 10-250 personnes dans des espaces authentiques : cloître, salle capitulaire, jardins. Idéal pour séminaires, concerts, mariages dans un cadre patrimonial exceptionnel. Un lieu de sérénité où l'histoire millénaire rencontre l'événementiel contemporain.;https://heavento.fr/location-de-salles/abbaye-de-saint-gilbert/location-d-abbaye/saint-didier-la-foret/auvergne/france/;https://www.abcsalles.com/lieu/abbaye-de-saint-gilbert;https://www.kactus.com/fr/lieux/abbaye-de-saint-gilbert;https://carmin.io/location/allier/abbaye-de-saint-gilbert;;;Actif;27/08/2025
Abbaye de Saint Victor;Salle de r�ception;Seine-Maritime;;Haute-Normandie;10-250 personnes;Dès 240€ - 1440€;Ancienne abbaye transformée en lieu culturel et événementiel à Seine-Maritime. Ce monument historique classé offre une atmosphère spirituelle unique avec son architecture monastique préservée. Capacité d'accueil de 10-250 personnes dans des espaces authentiques : cloître, salle capitulaire, jardins. Idéal pour séminaires, concerts, mariages dans un cadre patrimonial exceptionnel. Un lieu de sérénité où l'histoire millénaire rencontre l'événementiel contemporain.;https://heavento.fr/location-de-salles/abbaye-de-saint-victor/location-d-abbaye/saint-victor-labbaye/haute-normandie/france/;https://www.abcsalles.com/lieu/abbaye-de-saint-victor;https://www.kactus.com/fr/lieux/abbaye-de-saint-victor;https://carmin.io/location/seinemaritime/abbaye-de-saint-victor;;;Actif;27/08/2025
Abbaye de Valmagne;Salle de r�ception;H�rault;;Languedoc-Roussillon;10-250 personnes;Dès 240€ - 1440€;Joyau du patrimoine religieux situé à Hérault, cette abbaye historique propose des espaces uniques pour vos événements. Les voûtes millénaires et l'architecture sacrée créent une ambiance incomparable. Avec 10-250 personnes, elle accueille cérémonies, concerts et réceptions dans un cadre spirituel apaisant. Un voyage dans le temps où la beauté architecturale sublime vos moments d'exception.;https://heavento.fr/location-de-salles/abbaye-de-valmagne/location-d-abbaye/villeveyrac/languedoc-roussillon/france/;https://www.abcsalles.com/lieu/abbaye-de-valmagne;https://www.kactus.com/fr/lieux/abbaye-de-valmagne;https://carmin.io/location/hrault/abbaye-de-valmagne;;;Actif;27/08/2025
Abbaye de Vaucelles;Salle de r�ception;Nord;;Nord-Pas-de-Calais;10-250 personnes;Dès 240€ - 1440€;Ancienne abbaye transformée en lieu culturel et événementiel à Nord. Ce monument historique classé offre une atmosphère spirituelle unique avec son architecture monastique préservée. Capacité d'accueil de 10-250 personnes dans des espaces authentiques : cloître, salle capitulaire, jardins. Idéal pour séminaires, concerts, mariages dans un cadre patrimonial exceptionnel. Un lieu de sérénité où l'histoire millénaire rencontre l'événementiel contemporain.;https://heavento.fr/location-de-salles/abbaye-de-vaucelles/location-d-abbaye/les-rues-des-vignes/nord-pas-de-calais/france/;https://www.abcsalles.com/lieu/abbaye-de-vaucelles;https://www.kactus.com/fr/lieux/abbaye-de-vaucelles;https://carmin.io/location/nord/abbaye-de-vaucelles;;;Actif;27/08/2025
Abbaye de Vauluisant;Salle de r�ception;Yonne;;Bourgogne;10-250 personnes;Dès 240€ - 1440€;Joyau du patrimoine religieux situé à Yonne, cette abbaye historique propose des espaces uniques pour vos événements. Les voûtes millénaires et l'architecture sacrée créent une ambiance incomparable. Avec 10-250 personnes, elle accueille cérémonies, concerts et réceptions dans un cadre spirituel apaisant. Un voyage dans le temps où la beauté architecturale sublime vos moments d'exception.;https://heavento.fr/location-de-salles/abbaye-de-vauluisant/location-d-abbaye/courgenay/bourgogne/france/;https://www.abcsalles.com/lieu/abbaye-de-vauluisant;https://www.kactus.com/fr/lieux/abbaye-de-vauluisant;https://carmin.io/location/yonne/abbaye-de-vauluisant;;;Actif;27/08/2025
Abbaye de Villers-Canivet;Salle de r�ception;Calvados;;Basse-Normandie;10-250 personnes;Dès 240€ - 1440€;Ancienne abbaye transformée en lieu culturel et événementiel à Calvados. Ce monument historique classé offre une atmosphère spirituelle unique avec son architecture monastique préservée. Capacité d'accueil de 10-250 personnes dans des espaces authentiques : cloître, salle capitulaire, jardins. Idéal pour séminaires, concerts, mariages dans un cadre patrimonial exceptionnel. Un lieu de sérénité où l'histoire millénaire rencontre l'événementiel contemporain.;https://heavento.fr/location-de-salles/abbaye-de-villers-canivet/location-d-abbaye/villers-canivet/basse-normandie/france/;https://www.abcsalles.com/lieu/abbaye-de-villerscanivet;https://www.kactus.com/fr/lieux/abbaye-de-villerscanivet;https://carmin.io/location/calvados/abbaye-de-villerscanivet;;;Actif;27/08/2025
Abbaye de la Clarte Dieu;Salle de r�ception;Indre-et-Loire;;Centre;10-250 personnes;Dès 240€ - 1440€;Ancienne abbaye transformée en lieu culturel et événementiel à Indre-et-Loire. Ce monument historique classé offre une atmosphère spirituelle unique avec son architecture monastique préservée. Capacité d'accueil de 10-250 personnes dans des espaces authentiques : cloître, salle capitulaire, jardins. Idéal pour séminaires, concerts, mariages dans un cadre patrimonial exceptionnel. Un lieu de sérénité où l'histoire millénaire rencontre l'événementiel contemporain.;https://heavento.fr/location-de-salles/abbaye-de-la-clarte-dieu/location-d-abbaye/saint-paterne-racan/centre/france/;https://www.abcsalles.com/lieu/abbaye-de-la-clarte-dieu;https://www.kactus.com/fr/lieux/abbaye-de-la-clarte-dieu;https://carmin.io/location/indreetloire/abbaye-de-la-clarte-dieu;;;Actif;27/08/2025
Abbaye de la Gr�ce Dieu;Salle de r�ception;Charente-Maritime;;Poitou-Charentes;10-250 personnes;Dès 240€ - 1440€;Ancienne abbaye transformée en lieu culturel et événementiel à Charente-Maritime. Ce monument historique classé offre une atmosphère spirituelle unique avec son architecture monastique préservée. Capacité d'accueil de 10-250 personnes dans des espaces authentiques : cloître, salle capitulaire, jardins. Idéal pour séminaires, concerts, mariages dans un cadre patrimonial exceptionnel. Un lieu de sérénité où l'histoire millénaire rencontre l'événementiel contemporain.;https://heavento.fr/location-de-salles/abbaye-de-la-grace-dieu/location-d-abbaye/benon/poitou-charentes/france/;https://www.abcsalles.com/lieu/abbaye-de-la-grce-dieu;https://www.kactus.com/fr/lieux/abbaye-de-la-grce-dieu;https://carmin.io/location/charentemaritime/abbaye-de-la-grce-dieu;;;Actif;27/08/2025
Abbaye de la R�au;Salle de r�ception;Vienne;;Poitou-Charentes;10-250 personnes;Dès 240€ - 1440€;Joyau du patrimoine religieux situé à Vienne, cette abbaye historique propose des espaces uniques pour vos événements. Les voûtes millénaires et l'architecture sacrée créent une ambiance incomparable. Avec 10-250 personnes, elle accueille cérémonies, concerts et réceptions dans un cadre spirituel apaisant. Un voyage dans le temps où la beauté architecturale sublime vos moments d'exception.;https://heavento.fr/location-de-salles/abbaye-de-la-reau/location-d-abbaye/saint-martin-lars/poitou-charentes/france/;https://www.abcsalles.com/lieu/abbaye-de-la-rau;https://www.kactus.com/fr/lieux/abbaye-de-la-rau;https://carmin.io/location/vienne/abbaye-de-la-rau;;;Actif;27/08/2025
Abbaye du Valasse;Salle de r�ception;Seine-Maritime;;Haute-Normandie;10-250 personnes;Dès 240€ - 1440€;Ancienne abbaye transformée en lieu culturel et événementiel à Seine-Maritime. Ce monument historique classé offre une atmosphère spirituelle unique avec son architecture monastique préservée. Capacité d'accueil de 10-250 personnes dans des espaces authentiques : cloître, salle capitulaire, jardins. Idéal pour séminaires, concerts, mariages dans un cadre patrimonial exceptionnel. Un lieu de sérénité où l'histoire millénaire rencontre l'événementiel contemporain.;https://heavento.fr/location-de-salles/abbaye-du-valasse/location-d-abbaye/gruchet-le-valasse/haute-normandie/france/;https://www.abcsalles.com/lieu/abbaye-du-valasse;https://www.kactus.com/fr/lieux/abbaye-du-valasse;https://carmin.io/location/seinemaritime/abbaye-du-valasse;;;Actif;27/08/2025
Achafla Baita;Espace �v�nementiel;Pyr�n�es-Atlantiques;;Aquitaine;10-250 personnes;Dès 240€ - 1440€;Espace événementiel singulier implanté à Pyrénées-Atlantiques offrant une approche créative de l'accueil. Capacité d'accueil de 10-250 personnes dans un environnement original et modulable. Conception architecturale unique, équipements techniques et prestations personnalisées. Idéal pour événements artistiques, présentations créatives et célébrations originales. Un lieu d'exception pour des projets qui sortent de l'ordinaire.;https://heavento.fr/location-de-salles/achafla-baita/location-de-salle/ascain/aquitaine/france/;https://www.abcsalles.com/lieu/achafla-baita;https://www.kactus.com/fr/lieux/achafla-baita;https://carmin.io/location/pyrnesatlantiques/achafla-baita;;;Actif;27/08/2025
Aedaen;H�tel;Bas-Rhin;;Alsace;10-250 personnes;Dès 240€ - 1440€;Lieu d'événements original situé à Bas-Rhin proposant des espaces atypiques et créatifs. Configuration flexible accueillant 10-250 personnes avec possibilités d'aménagements personnalisés. Cadre unique, équipements modernes et services sur mesure. Parfait pour lancements, expositions, soirées thématiques et événements innovants. Un espace différent où l'imagination prend forme pour des moments extraordinaires.;https://heavento.fr/location-de-salles/aedaen/location-de-salle/strasbourg/alsace/france/;https://www.abcsalles.com/lieu/aedaen;https://www.kactus.com/fr/lieux/aedaen;https://carmin.io/location/basrhin/aedaen;;;Actif;27/08/2025
Agapanthes;H�tel;La Riche;Indre-et-Loire;;20-170 personnes;Dès 240€ - 1440€;Lieu d'événements original situé à La Riche proposant des espaces atypiques et créatifs. Configuration flexible accueillant 20-170 personnes avec possibilités d'aménagements personnalisés. Cadre unique, équipements modernes et services sur mesure. Parfait pour lancements, expositions, soirées thématiques et événements innovants. Un espace différent où l'imagination prend forme pour des moments extraordinaires.;;https://www.abcsalles.com/lieu/agapanthes;https://www.kactus.com/fr/lieux/agapanthes;https://carmin.io/location/la-riche/agapanthes;;;Actif;27/08/2025
Agapes;H�tel;Seine-et-Marne;;�le-de-France;10-250 personnes;Dès 640€ - 4000€;Lieu d'événements original situé à Seine-et-Marne proposant des espaces atypiques et créatifs. Configuration flexible accueillant 10-250 personnes avec possibilités d'aménagements personnalisés. Cadre unique, équipements modernes et services sur mesure. Parfait pour lancements, expositions, soirées thématiques et événements innovants. Un espace différent où l'imagination prend forme pour des moments extraordinaires.;https://heavento.fr/location-de-salles/agapes/location-de-domaine/melun/ile-de-france/france/;https://www.abcsalles.com/lieu/agapes;https://www.kactus.com/fr/lieux/agapes;https://carmin.io/location/seineetmarne/agapes;;;Actif;27/08/2025
Aixagone;Espace �v�nementiel;Bouches-du-Rh�ne;;Provence-Alpes-C�te d'Azur;10-250 personnes;Dès 480€ - 2800€;Espace événementiel singulier implanté à Bouches-du-Rhône offrant une approche créative de l'accueil. Capacité d'accueil de 10-250 personnes dans un environnement original et modulable. Conception architecturale unique, équipements techniques et prestations personnalisées. Idéal pour événements artistiques, présentations créatives et célébrations originales. Un lieu d'exception pour des projets qui sortent de l'ordinaire.;https://heavento.fr/location-de-salles/aixagone/location-de-salle/saint-cannat/provence-alpes-cote-dazur/france/;https://www.abcsalles.com/lieu/aixagone;https://www.kactus.com/fr/lieux/aixagone;https://carmin.io/location/bouchesdurhne/aixagone;;;Actif;27/08/2025
Alliance Palace-R�ception;H�tel;Val-d'Oise;;�le-de-France;10-250 personnes;Dès 640€ - 4000€;Espace événementiel singulier implanté à Val-d'Oise offrant une approche créative de l'accueil. Capacité d'accueil de 10-250 personnes dans un environnement original et modulable. Conception architecturale unique, équipements techniques et prestations personnalisées. Idéal pour événements artistiques, présentations créatives et célébrations originales. Un lieu d'exception pour des projets qui sortent de l'ordinaire.;https://heavento.fr/location-de-salles/alliance-palace-reception/location-de-salle/saint-leu-la-foret/ile-de-france/france/;https://www.abcsalles.com/lieu/alliance-palacerception;https://www.kactus.com/fr/lieux/alliance-palacerception;https://carmin.io/location/valdoise/alliance-palacerception;;;Actif;27/08/2025
Ambiance Squash;Espace �v�nementiel;Gironde;;Aquitaine;10-250 personnes;Dès 240€ - 1440€;Espace événementiel singulier implanté à Gironde offrant une approche créative de l'accueil. Capacité d'accueil de 10-250 personnes dans un environnement original et modulable. Conception architecturale unique, équipements techniques et prestations personnalisées. Idéal pour événements artistiques, présentations créatives et célébrations originales. Un lieu d'exception pour des projets qui sortent de l'ordinaire.;https://heavento.fr/location-de-salles/ambiance-squash/location-de-salle/merignac/aquitaine/france/;https://www.abcsalles.com/lieu/ambiance-squash;https://www.kactus.com/fr/lieux/ambiance-squash;https://carmin.io/location/gironde/ambiance-squash;;;Actif;27/08/2025
Ambiance et Saveurs;H�tel;Rh�ne;;Rh�ne-Alpes;10-250 personnes;Dès 240€ - 1440€;Lieu d'événements original situé à Rhône proposant des espaces atypiques et créatifs. Configuration flexible accueillant 10-250 personnes avec possibilités d'aménagements personnalisés. Cadre unique, équipements modernes et services sur mesure. Parfait pour lancements, expositions, soirées thématiques et événements innovants. Un espace différent où l'imagination prend forme pour des moments extraordinaires.;https://heavento.fr/location-de-salles/ambiance-et-saveurs/location-de-salle/corbas/rhone-alpes/france/;https://www.abcsalles.com/lieu/ambiance-et-saveurs;https://www.kactus.com/fr/lieux/ambiance-et-saveurs;https://carmin.io/location/rhne/ambiance-et-saveurs;;;Actif;27/08/2025
Amici & Co;H�tel;Haut-Rhin;;Alsace;10-250 personnes;Dès 240€ - 1440€;Lieu d'événements original situé à Haut-Rhin proposant des espaces atypiques et créatifs. Configuration flexible accueillant 10-250 personnes avec possibilités d'aménagements personnalisés. Cadre unique, équipements modernes et services sur mesure. Parfait pour lancements, expositions, soirées thématiques et événements innovants. Un espace différent où l'imagination prend forme pour des moments extraordinaires.;https://heavento.fr/location-de-salles/amici-co/location-de-salle/mulhouse/alsace/france/;https://www.abcsalles.com/lieu/amici-co;https://www.kactus.com/fr/lieux/amici-co;https://carmin.io/location/hautrhin/amici-co;;;Actif;27/08/2025
Ancien Couvent des Ursulines;Salle de r�ception;Haute-Garonne;;Midi-Pyr�n�es;10-250 personnes;Dès 240€ - 1440€;Ancienne abbaye transformée en lieu culturel et événementiel à Haute-Garonne. Ce monument historique classé offre une atmosphère spirituelle unique avec son architecture monastique préservée. Capacité d'accueil de 10-250 personnes dans des espaces authentiques : cloître, salle capitulaire, jardins. Idéal pour séminaires, concerts, mariages dans un cadre patrimonial exceptionnel. Un lieu de sérénité où l'histoire millénaire rencontre l'événementiel contemporain.;https://heavento.fr/location-de-salles/ancien-couvent-des-ursulines/location-de-salle/grenade-sur-garonne/midi-pyrenees/france/;https://www.abcsalles.com/lieu/ancien-couvent-des-ursulines;https://www.kactus.com/fr/lieux/ancien-couvent-des-ursulines;https://carmin.io/location/hautegaronne/ancien-couvent-des-ursulines;;;Actif;27/08/2025
Ancienne Usine d’Ocres;Espace �v�nementiel;Vaucluse;;Provence-Alpes-C�te d'Azur;10-250 personnes;Dès 480€ - 2800€;Espace événementiel singulier implanté à Vaucluse offrant une approche créative de l'accueil. Capacité d'accueil de 10-250 personnes dans un environnement original et modulable. Conception architecturale unique, équipements techniques et prestations personnalisées. Idéal pour événements artistiques, présentations créatives et célébrations originales. Un lieu d'exception pour des projets qui sortent de l'ordinaire.;https://heavento.fr/location-de-salles/ancienne-usine-docres/location-de-salle/roussillon/provence-alpes-cote-dazur/france/;https://www.abcsalles.com/lieu/ancienne-usine-docres;https://www.kactus.com/fr/lieux/ancienne-usine-docres;https://carmin.io/location/vaucluse/ancienne-usine-docres;;;Actif;27/08/2025
Apanage du Bran;Espace �v�nementiel;Ille-et-Vilaine;;Bretagne;10-250 personnes;Dès 320€ - 1760€;Espace événementiel singulier implanté à Ille-et-Vilaine offrant une approche créative de l'accueil. Capacité d'accueil de 10-250 personnes dans un environnement original et modulable. Conception architecturale unique, équipements techniques et prestations personnalisées. Idéal pour événements artistiques, présentations créatives et célébrations originales. Un lieu d'exception pour des projets qui sortent de l'ordinaire.;https://heavento.fr/location-de-salles/apanage-du-bran/location-de-salle/gael/bretagne/france/;https://www.abcsalles.com/lieu/apanage-du-bran;https://www.kactus.com/fr/lieux/apanage-du-bran;https://carmin.io/location/illeetvilaine/apanage-du-bran;;;Actif;27/08/2025
Apprentis d’Auteuil;H�tel;Paris;;�le-de-France;20-500 personnes;Dès 640€ - 4000€;Lieu d'événements original situé à Paris proposant des espaces atypiques et créatifs. Configuration flexible accueillant 20-500 personnes avec possibilités d'aménagements personnalisés. Cadre unique, équipements modernes et services sur mesure. Parfait pour lancements, expositions, soirées thématiques et événements innovants. Un espace différent où l'imagination prend forme pour des moments extraordinaires.;https://heavento.fr/location-de-salles/apprentis-dauteuil/location-de-salle/paris-16/ile-de-france/france/;https://www.abcsalles.com/lieu/apprentis-dauteuil;https://www.kactus.com/fr/lieux/apprentis-dauteuil;https://carmin.io/location/paris/apprentis-dauteuil;;;Actif;27/08/2025
